Family,Genus,SpecificEpithet,SubspecificEpithet,InfraspecificEpithet,InfraspecificRank,Authorship
Geometridae,Abraxas,grossulariata,,,,"(Linnaeus, 1758)"
Noctuidae,Abrostola,agnorista,,,,"Dufay, 1956"
Noctuidae,Abrostola,asclepiadis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Abrostola,trigemina,,,,"(Werneburg, 1864)"
Noctuidae,Abrostola,tripartita,,,,"(Hufnagel, 1766)"
Noctuidae,Abrostola,triplasia,,,,"(Linnaeus, 1758)"
Psychidae,Acanthopsyche,atra,,,,"(Linnaeus, 1767)"
Geometridae,Acasis,appensata,,,,"(Eversmann, 1842)"
Geometridae,Acasis,viretata,,,,"(H\u00fcbner, 1799)"
Sphingidae,Acherontia,atropos,,,,"(Linnaeus, 1758)"
Drepanidae,Achlya,flavicornis,,,,"(Linnaeus, 1758)"
Noctuidae,Acontia,lucida,,,,"(Hufnagel, 1767)"
Noctuidae,Acosmetia,caliginosa,,,,"(H\u00fcbner, 1813)"
Noctuidae,Acronicta,aceris,,,,"(Linnaeus, 1758)"
Noctuidae,Acronicta,alni,,,,"(Linnaeus, 1767)"
Noctuidae,Acronicta,auricoma,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Acronicta,cinerea,,,,"(Hufnagel, 1766)"
Noctuidae,Acronicta,cuspis,,,,"(H\u00fcbner, 1813)"
Noctuidae,Acronicta,euphorbiae,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Acronicta,leporina,,,,"(Linnaeus, 1758)"
Noctuidae,Acronicta,megacephala,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Acronicta,menyanthidis,,,,"(Esper, 1789)"
Noctuidae,Acronicta,psi,,,,"(Linnaeus, 1758)"
Noctuidae,Acronicta,rumicis,,,,"(Linnaeus, 1758)"
Noctuidae,Acronicta,strigosa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Acronicta,tridens,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Actebia,praecox,,,,"(Linnaeus, 1758)"
Noctuidae,Actinotia,polyodon,,,,"(Clerck, 1759)"
Noctuidae,Actinotia,radiosa,,,,"(Esper, 1798)"
Geometridae,Adactylotis,contaminaria,,,,"(H\u00fcbner, 1813)"
Zygaenidae,Adscita,alpina,,,,"(Alberti, 1937)"
Zygaenidae,Adscita,dujardini,,,,"Efetov & Tarmann, 2014"
Zygaenidae,Adscita,geryon,,,,"(H\u00fcbner, 1813)"
Zygaenidae,Adscita,mannii,,,,"(Lederer, 1853)"
Zygaenidae,Adscita,statices,,,,"(Linnaeus, 1758)"
Zygaenidae,Adscita,turcosa,,,,"Retzius, 1783"
Noctuidae,Aedia,funesta,,,,"(Esper, 1786)"
Noctuidae,Aedia,leucomelas,,,,"(Linnaeus, 1758)"
Geometridae,Aethalura,punctulata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Aetheria,bicolorata,,,,"(Hufnagel, 1766)"
Noctuidae,Aetheria,dysodea,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Aglais,urticae,,,,"(Linnaeus, 1758)"
Zygaenidae,Aglaope,infausta,,,,"(Linnaeus, 1767)"
Saturniidae,Aglia,tau,,,,"(Linnaeus, 1758)"
Lycaenidae,Agriades,dardanus,,,,"(Freyer, 1845)"
Lycaenidae,Agriades,diodorus,,,,"(Bremer, 1861)"
Lycaenidae,Agriades,glandon,,,,"(Prunner, 1798)"
Lycaenidae,Agriades,kurtjohnsoni,,,,"B\u00e1lint, 1997"
Lycaenidae,Agriades,orbitulus,,,,"(Esper, 1800)"
Lycaenidae,Agriades,pyrenaicus,,,,"(Boisduval, 1840)"
Lycaenidae,Agriades,zullichi,,,,"Hemming, 1933"
Geometridae,Agriopis,aurantiaria,,,,"(H\u00fcbner, 1799)"
Geometridae,Agriopis,bajaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Agriopis,leucophaearia,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Agriopis,marginaria,,,,"(Fabricius, 1776)"
Sphingidae,Agrius,convolvuli,,,,"(Linnaeus, 1758)"
Noctuidae,Agrochola,circellaris,,,,"(Hufnagel, 1766)"
Noctuidae,Agrochola,dujardini,,,,"(Dufay, 1976)"
Noctuidae,Agrochola,helvola,,,,"(Linnaeus, 1758)"
Noctuidae,Agrochola,humilis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Agrochola,laevis,,,,"(H\u00fcbner, 1803)"
Noctuidae,Agrochola,litura,,,,"Linnaeus, 1758"
Noctuidae,Agrochola,lota,,,,"(Clerck, 1759)"
Noctuidae,Agrochola,lychnidis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Agrochola,macilenta,,,,"(H\u00fcbner, 1809)"
Noctuidae,Agrochola,nitida,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Agrochola,pistacinoides,,,,"(d'Aubuisson, 1867)"
Lycaenidae,Agrodiaetus,agestor,,,,"(Godart, 1824)"
Lycaenidae,Agrodiaetus,damon,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Agrodiaetus,icarius,,,,"(Esper, 1793)"
Noctuidae,Agrotis,bigramma,,,,"(Esper, 1790)"
Noctuidae,Agrotis,cinerea,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Agrotis,clavis,,,,"(Hufnagel, 1766)"
Noctuidae,Agrotis,crassa,,,,"(H\u00fcbner, 1803)"
Noctuidae,Agrotis,exclamationis,,,,"(Linnaeus, 1758)"
Noctuidae,Agrotis,fatidica,,,,"(H\u00fcbner, 1824)"
Noctuidae,Agrotis,ipsilon,,,,"(Hufnagel, 1766)"
Noctuidae,Agrotis,obesa,,,,"(Boisduval, 1829)"
Noctuidae,Agrotis,puta,,,,"(H\u00fcbner, 1803)"
Noctuidae,Agrotis,ripae,,,,"H\u00fcbner, 1823"
Noctuidae,Agrotis,segetum,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Agrotis,simplonia,,,,"(Geyer, 1832)"
Noctuidae,Agrotis,trux,,,,"(H\u00fcbner, 1824)"
Noctuidae,Agrotis,vestigialis,,,,"(Hufnagel, 1766)"
Lycaenidae,Albulina,orbitulus,,,,"(Prunner, 1798)"
Lycaenidae,Albulina,pheretes,,,,"(H\u00fcbner, 1805)"
Geometridae,Alcis,bastelbergeri,,,,"(Hirschke, 1908)"
Geometridae,Alcis,jubata,,,,"(Thunberg, 1788)"
Geometridae,Alcis,maculata,,,,"Staudinger, 1892"
Geometridae,Alcis,repandata,,,,"(Linnaeus, 1758)"
Noctuidae,Aleucanitis,cailino,,,,"(Lefebvre, 1827)"
Geometridae,Aleucis,distinctata,,,,"(Herrich-Sch\u00e4ffer, 1839)"
Papilionidae,Allancastria,caucasica,,,,"(Lederer, 1864)"
Papilionidae,Allancastria,cerisyi,,,,"(Godart, 1819)"
Papilionidae,Allancastria,cretica,,,,"(Rebel, 1904)"
Papilionidae,Allancastria,deyrollei,,,,"(Oberth\u00fcr, 1869)"
Noctuidae,Allophyes,oxyacanthae,,,,"(Linnaeus, 1758)"
Geometridae,Alsophila,aceraria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Alsophila,aescularia,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Alsophila,quadripunctaria,,,,"Esper, 1800"
Alucitidae,Alucita,cymatodactyla,,,,"Zeller, 1852"
Alucitidae,Alucita,desmodactyla,,,,"Zeller, 1847"
Alucitidae,Alucita,grammodactyla,,,,"Zeller, 1841"
Alucitidae,Alucita,hexadactyla,,,,"Linnaeus, 1758"
Alucitidae,Alucita,huebneri,,,,"Wallengren, 1859"
Alucitidae,Alucita,zonodactyla,,,,"Zeller, 1847"
Arctiidae,Amata,phegea,,,,"(Linnaeus, 1758)"
Noctuidae,Ammoconia,caecimacula,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Ammoconia,senex,,,,"(Geyer, 1828)"
Noctuidae,Amphipoea,fucosa,,,,"(Freyer, 1830)"
Noctuidae,Amphipoea,lucens,,,,"(Freyer, 1845)"
Noctuidae,Amphipoea,oculea,,,,"(Linnaeus, 1761)"
Noctuidae,Amphipyra,berbera,svenssoni,,,"Fletcher, 1968"
Noctuidae,Amphipyra,livida,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Amphipyra,perflua,,,,"(Fabricius, 1787)"
Noctuidae,Amphipyra,pyramidea,,,,"(Linnaeus, 1758)"
Noctuidae,Amphipyra,tetra,,,,"(Fabricius, 1787)"
Noctuidae,Amphipyra,tragopoginis,,,,"(Clerck, 1759)"
Noctuidae,Anaplectoides,prasina,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Anarta,cordigera,,,,"(Thunberg, 1788)"
Noctuidae,Anarta,myrtilli,,,,"(Linnaeus, 1761)"
Geometridae,Angerona,prunaria,,,,"(Linnaeus, 1758)"
Saturniidae,Antheraea,yamamai,,,,"(Guerin-Meneville, 1861)"
Pieridae,Anthocharis,belia,,,,"(Linnaeus, 1767)"
Pieridae,Anthocharis,bieti,,,,"(Oberth\u00fcr, 1884)"
Pieridae,Anthocharis,cardamines,,,,"(Linnaeus, 1758)"
Pieridae,Anthocharis,damone,,,,"Boisduval, 1836"
Pieridae,Anthocharis,euphenoides,,,,"Staudinger, 1869"
Pieridae,Anthocharis,gruneri,,,,"Herrich-Sch\u00e4ffer, [1851]"
Geometridae,Anticlea,badiata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Anticlea,derivata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Anticollix,sparsata,,,,"(Treischke, 1828)"
Noctuidae,Antitype,chi,,,,"(Linnaeus, 1758)"
Noctuidae,Antitype,suda,,,,"(Geyer, 1832)"
Geometridae,Antonechloris,smaragdaria,,,,"(Fabricius, 1787)"
Noctuidae,Apamea,anceps,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Apamea,aquila,,,,"Donzel, 1837"
Noctuidae,Apamea,crenata,,,,"(Hufnagel, 1766)"
Noctuidae,Apamea,epomidion,,,,"(Haworth, 1809)"
Noctuidae,Apamea,furva,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Apamea,illyria,,,,"Freyer, 1846"
Noctuidae,Apamea,lateritia,,,,"(Hufnagel, 1766)"
Noctuidae,Apamea,lithoxylaea,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Apamea,maillardi,,,,"(Geyer, 1834)"
Noctuidae,Apamea,monoglypha,,,,"(Hufnagel, 1766)"
Noctuidae,Apamea,oblonga,,,,"(Haworth, 1809)"
Noctuidae,Apamea,ophiogramma,,,,"(Esper, 1793)"
Noctuidae,Apamea,platinea,,,,"(Treitschke, 1825)"
Noctuidae,Apamea,remissa,,,,"(H\u00fcbner, 1809)"
Noctuidae,Apamea,rubrirena,,,,"(Treitschke, 1825)"
Noctuidae,Apamea,scolopacina,,,,"(Esper, 1788)"
Noctuidae,Apamea,sordens,,,,"(Hufnagel, 1766)"
Noctuidae,Apamea,sublustris,,,,"(Esper, 1788)"
Noctuidae,Apamea,unanimis,,,,"(H\u00fcbner, 1813)"
Noctuidae,Apamea,zeta,pernix,,,"(Geyer, 1832)"
Nymphalidae,Apatura,ilia,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Apatura,iris,,,,"(Linnaeus, 1758)"
Geometridae,Apeira,syringaria,,,,"(Linnaeus, 1758)"
Nymphalidae,Aphantopus,hyperantus,,,,"(Linnaeus, 1758)"
Geometridae,Aplasta,ononaria,,,,"(Fuessly, 1783)"
Geometridae,Aplocera,efformata,,,,"(Guen\u00e9e, 1857)"
Geometridae,Aplocera,plagiata,,,,"(Linnaeus, 1758)"
Geometridae,Aplocera,praeformata,,,,"(H\u00fcbner, 1826)"
Geometridae,Apocheima,hispidaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Apocheima,pilosaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Limacodidae,Apoda,limacodes,,,,"(Hufnagel, 1766)"
Noctuidae,Apopestes,spectrum,,,,"(Esper, 1787)"
Pieridae,Aporia,agathon,,,,"(Gray, 1831)"
Pieridae,Aporia,crataegi,,,,"(Linnaeus, 1758)"
Pieridae,Aporia,delavayi,,,,"(Oberth\u00fcr, 1890)"
Pieridae,Aporia,gigantea,,,,"Koiwaya, 1993"
Pieridae,Aporia,hippia,,,,"(Bremer, 1861)"
Pieridae,Aporia,intercostata,,,,"Bang-Haas, 1927"
Pieridae,Aporia,leucodice,,,,"(Eversmann, 1843)"
Pieridae,Aporia,martineti,,,,"(Oberth\u00fcr, 1884)"
Pieridae,Aporia,oberthuri,,,,"(Leech, 1890)"
Pieridae,Aporia,potanini,,,,"Alph\u00e9raky, 1892"
Pieridae,Aporia,procris,,,,"Leech, 1890"
Pieridae,Aporia,soracta,,,,"Moore, 1857"
Noctuidae,Aporophyla,aethiops,,,,"(Ochsenheimer, 1816)"
Noctuidae,Aporophyla,australis,,,,"(Boisduval, 1829)"
Noctuidae,Aporophyla,canescens,,,,"(Duponchel, 1826)"
Noctuidae,Aporophyla,lueneburgensis,,,,"(Freyer, 1848)"
Noctuidae,Aporophyla,lutulenta,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Aporophyla,nigra,,,,"(Haworth, 1809)"
Psychidae,Apterona,helicoidella,,,,"(Vallot, 1827)"
Psychidae,Apterona,helicoidella,crenulella (bisex.),,,"Bruand, 1853"
Psychidae,Apterona,helicoidella,helicoidella (parth.),,,"(Vallot, 1827)"
Nymphalidae,Araschnia,levana,,,,"(Linnaeus, 1758)"
Noctuidae,Archanara,algae,,,,"(Esper, 1789)"
Noctuidae,Archanara,dissoluta,,,,"(Treitschke, 1825)"
Noctuidae,Archanara,geminipuncta,,,,"(Haworth, 1809)"
Noctuidae,Archanara,neurica,,,,"(H\u00fcbner, 1808)"
Noctuidae,Archanara,sparganii,,,,"(Esper, 1790)"
Geometridae,Archiearis,notha,,,,"(H\u00fcbner, 1803)"
Geometridae,Archiearis,parthenias,,,,"(Linnaeus, 1761)"
Geometridae,Archiearis,puella,,,,"(Esper, 1787)"
Papilionidae,Archon,apollinaris,,,,"(Staudinger, [1892])"
Papilionidae,Archon,apollinus,,,,"(Herbst, 1798)"
Arctiidae,Arctia,caja,,,,"(Linnaeus, 1758)"
Arctiidae,Arctia,festiva,,,,"(Hufnagel, 1766)"
Arctiidae,Arctia,flavia,,,,"(F\u00fcssly, 1779)"
Arctiidae,Arctia,villica,,,,"(Linnaeus, 1758)"
Lymantriidae,Arctornis,l-nigrum,,,,"(M\u00fcller, 1764)"
Noctuidae,Arenostola,phragmitidis,,,,"(H\u00fcbner, 1803)"
Nymphalidae,Arethusana,arethusa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Argynnis,adippe,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Argynnis,aglaja,,,,"(Linnaeus, 1758)"
Nymphalidae,Argynnis,charlotta,,,,"(Haworth, 1802)"
Nymphalidae,Argynnis,niobe,,,,"(Linnaeus, 1758)"
Nymphalidae,Argynnis,pandora,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Argynnis,paphia,,,,"(Linnaeus, 1758)"
Geometridae,Arichanna,melanaria,,,,"(Linnaeus, 1758)"
Lycaenidae,Aricia,agestis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Aricia,artaxerxes,,,,"(Fabricius, 1793)"
Lycaenidae,Aricia,donzelii,,,,"(Boisduval, 1832)"
Lycaenidae,Aricia,eumedon,,,,"(Esper, 1780)"
Lycaenidae,Aricia,nicias,,,,"(Meigen, 1830)"
Geometridae,Artiora,evonymaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Ascotis,selenaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Drepanidae,Asphalia,ruficollis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Aspitates,gilvaria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Asteroscopus,sphinx,,,,"(Hufnagel, 1766)"
Geometridae,Asthena,albulata,,,,"(Hufnagel, 1767)"
Geometridae,Asthena,anseraria,,,,"(Herrich-Sch\u00e4ffer, 1855)"
Noctuidae,Atethmia,ambusta,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Atethmia,centrago,,,,"(Haworth, 1809)"
Noctuidae,Athetis,gluteosa,,,,"(Treitschke, 1835)"
Noctuidae,Athetis,pallustris,,,,"(H\u00fcbner, 1808)"
Arctiidae,Atolmis,rubricollis,,,,"(Linnaeus, 1758)"
Noctuidae,Atypha,pulmonaris,,,,"(Esper, 1790)"
Noctuidae,Auchmis,detersa,,,,"(Esper, 1791)"
Noctuidae,Autographa,aemula,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Autographa,bractea,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Autographa,gamma,,,,"(Linnaeus, 1758)"
Noctuidae,Autographa,jota,,,,"(Linnaeus, 1758)"
Noctuidae,Autographa,pulchrina,,,,"(Haworth, 1809)"
Noctuidae,Autophila,dilucida,,,,"(H\u00fcbner, 1808)"
Noctuidae,Autophila,hirsuta,,,,"(Staudinger, 1870)"
Noctuidae,Axylia,putris,,,,"(Linnaeus, 1761)"
Psychidae,Bacotia,claustrella,,,,"(Bruand, 1845)"
Geometridae,Baptria,tibiale,,,,"(Esper, 1791)"
Sesiidae,Bembecia,albanensis,,,,"(Rebel, 1918)"
Sesiidae,Bembecia,ichneumoniformis,,,,"(Denis & Schifferm\u00fcller, 1775)"
Sesiidae,Bembecia,megillaeformis,,,,"(H\u00fcbner, 1813)"
Sesiidae,Bembecia,scopigera,,,,"(Scopoli, 1763)"
Sesiidae,Bembecia,uroceriformis,,,,"(Treitschke, 1834)"
Nolidae,Bena,bicolorana,,,,"(Fuessly, 1775)"
Papilionidae,Bhutanitis,lidderdalii,,,,"Atkinson, 1873"
Papilionidae,Bhutanitis,ludlowi,,,,"Gabriel, 1942"
Papilionidae,Bhutanitis,mansfieldi,,,,"(Riley, 1939)"
Papilionidae,Bhutanitis,thaidina,,,,"(Blanchard, 1871)"
Geometridae,Bichroma,famula,,,,"(Esper, 1787)"
Psychidae,Bijugis,bombycella,,,,"(Denis & Schifferm\u00fcller, 1775)"
Psychidae,Bijugis,bombycella,bombycella,,,"Denis & Schifferm\u00fcller, 1775"
Psychidae,Bijugis,bombycella,helvetica,,,"(Trautmann, 1914)"
Psychidae,Bijugis,bombycella,helvetica retiferella,,,"Wehrli, 1923"
Psychidae,Bijugis,bombycella,rotundella,,,"(Bruand, 1847)"
Geometridae,Biston,betularia,,,,"(Linnaeus, 1758)"
Geometridae,Biston,strataria,,,,"(Hufnagel, 1767)"
Noctuidae,Blepharita,melanomorpha,,,,"(Turati, 1921)"
Noctuidae,Blepharita,satura,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Boloria,aquilonaris,,,,"(Stichel, 1908)"
Nymphalidae,Boloria,arsilache,,,,"(Knoch, 1781)"
Nymphalidae,Boloria,dia,,,,"(Linnaeus, 1767)"
Nymphalidae,Boloria,eunomia,,,,"(Esper, 1799)"
Nymphalidae,Boloria,euphrosyne,,,,"(Linnaeus, 1758)"
Nymphalidae,Boloria,napaea,,,,"(Hoffmannsegg, 1804)"
Nymphalidae,Boloria,pales,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Boloria,selene,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Boloria,thore,,,,"(H\u00fcbner, 1803)"
Nymphalidae,Boloria,titania,,,,"(Esper, 1793)"
Saturniidae,Bombyx,mori,,,,"(Linnaeus, 1758)"
Noctuidae,Brachionycha,nubeculosa,,,,"(Esper, 1785)"
Noctuidae,Brachylomia,viminalis,,,,"(Fabricius, 1776)"
Nymphalidae,Brenthis,daphne,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Brenthis,hecate,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Brenthis,ino,,,,"(Rottemburg, 1775)"
Psychidae,Brevantennia,siederi,,,,"(Sauter, 1954)"
Nymphalidae,Brintesia,circe,,,,"(Fabricius, 1775)"
Noctuidae,Brithys,crini,,,,"(Fabricius, 1775)"
Psychidae,Bruandia,comitella,,,,"(Bruand, 1853)"
Geometridae,Bupalus,piniaria,,,,"(Linnaeus, 1758)"
Geometridae,Cabera,exanthemata,,,,"(Scopoli, 1763)"
Geometridae,Cabera,pusaria,,,,"(Linnaeus, 1758)"
Lycaenidae,Cacyreus,marshalli,,,,"Butler, 1898"
Noctuidae,Calamia,tridens,,,,"(Hufnagel, 1766)"
Noctuidae,Calliergis,ramosa,,,,"(Esper, 1786)"
Arctiidae,Callimorpha,dominula,,,,"(Linnaeus, 1758)"
Noctuidae,Callistege,mi,,,,"(Clerck, 1759)"
Lymantriidae,Calliteara,abietis,,,,"Denis & Schifferm\u00fcller, 1775"
Lymantriidae,Calliteara,pudibunda,,,,"(Linnaeus, 1758)"
Lycaenidae,Callophrys,avis,,,,"Chapman, 1909"
Lycaenidae,Callophrys,chalybeitincta,,,,"Sovinsky, 1905"
Lycaenidae,Callophrys,mystaphia,,,,"Miller, [1913]"
Lycaenidae,Callophrys,paulae,,,,"Pfeiffer, 1932"
Lycaenidae,Callophrys,rubi,,,,"(Linnaeus, 1758)"
Noctuidae,Callopistria,juventina,,,,"(Stoll, 1782)"
Noctuidae,Calophasia,lunula,,,,"(Hufnagel, 1766)"
Noctuidae,Calophasia,opalina,,,,"(Esper, 1793)"
Noctuidae,Calophasia,platyptera,,,,"(Esper, 1788)"
Geometridae,Calospilos,sylvata,,,,"(Scopoli, 1763)"
Noctuidae,Calyptra,thalictri,,,,"(Borkhausen, 1790)"
Geometridae,Campaea,honoraria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Campaea,margaritata,,,,"(Linnaeus, 1767)"
Geometridae,Camptogramma,bilineata,,,,"(Linnaeus, 1758)"
Psychidae,Canephora,hirsuta,,,,"(Poda, 1761)"
Psychidae,Canephora,unicolor,,,,"Hufnagel, 1766"
Noctuidae,Caradrina,albina,,,,"(Eversmann, 1848)"
Noctuidae,Caradrina,germainii,,,,"Duponchel, 1835"
Noctuidae,Caradrina,morpheus,,,,"Hufnagel, 1766"
Hesperiidae,Carcharodus,alceae,,,,"(Esper, 1780)"
Hesperiidae,Carcharodus,altheae,,,,"(H\u00fcbner, 1803)"
Hesperiidae,Carcharodus,baeticus,,,,"(Rambur, 1839)"
Hesperiidae,Carcharodus,dravira,,,,"(Moore, [1875])"
Hesperiidae,Carcharodus,floccifera,,,,"(Zeller, 1847)"
Hesperiidae,Carcharodus,lavatherae,,,,"(Esper, 1783)"
Hesperiidae,Carcharodus,marrubii,,,,"(Rambur, 1840)"
Hesperiidae,Carcharodus,orientalis,,,,"Reverdin, 1913"
Hesperiidae,Carcharodus,stauderi,,,,"Reverdin, 1913"
Hesperiidae,Carcharodus,tripolina,,,,"(Verity, 1925)"
Geometridae,Carsia,lythoxylata,,,,"(H\u00fcbner, 1799)"
Geometridae,Carsia,sororiata,imbutata,,,"(H\u00fcbner, 1813)"
Hesperiidae,Carterocephalus,christophi,,,,"Grum-Grshimailo, 1891"
Hesperiidae,Carterocephalus,palaemon,,,,"(Pallas, 1771)"
Hesperiidae,Carterocephalus,silvicola,,,,"(Meigen, 1829)"
Geometridae,Cataclysme,riguata,,,,"(H\u00fcbner, 1813)"
Geometridae,Catarhoe,cuculata,,,,"(Hufnagel, 1767)"
Geometridae,Catarhoe,rubidata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Catascia,sordarius,,,,"Thunberg, 1792"
Noctuidae,Catephia,alchymista,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Catocala,conjuncta,,,,"Esper, 1788"
Noctuidae,Catocala,conversa,,,,"(Esper, 1788)"
Noctuidae,Catocala,dilecta,,,,"(H\u00fcbner, 1808)"
Noctuidae,Catocala,diversa,,,,"(Geyer, 1828)"
Noctuidae,Catocala,electa,,,,"(Vieweg, 1790)"
Noctuidae,Catocala,elocata,,,,"(Esper, 1787)"
Noctuidae,Catocala,fraxini,,,,"(Linnaeus, 1758)"
Noctuidae,Catocala,fulminea,,,,"(Scopoli, 1763)"
Noctuidae,Catocala,nupta,,,,"(Linnaeus, 1767)"
Noctuidae,Catocala,nymphaea,,,,"(Esper, 1787)"
Noctuidae,Catocala,nymphagoga,,,,"(Esper, 1787)"
Noctuidae,Catocala,promissa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Catocala,puerpera,,,,"(Giorna, 1791)"
Noctuidae,Catocala,sponsa,,,,"(Linnaeus, 1767)"
Noctuidae,Celaena,haworthii,,,,"Curtis, 1829"
Noctuidae,Celaena,leucostigma,,,,"(H\u00fcbner, 1808)"
Lycaenidae,Celastrina,argiolus,,,,"(Linnaeus, 1758)"
Geometridae,Cepphis,advenaria,,,,"(H\u00fcbner, 1790)"
Noctuidae,Cerapteryx,graminis,,,,"(Linnaeus, 1758)"
Noctuidae,Cerastis,leucographa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Cerastis,rubricosa,,,,"(Denis & Schifferm\u00fcller, 1775)"
Notodontidae,Cerura,erminea,,,,"(Esper, 1784)"
Notodontidae,Cerura,vinula,,,,"(Linnaeus, 1758)"
Sesiidae,Chamaesphecia,aerifrons,,,,"(Zeller, 1847)"
Sesiidae,Chamaesphecia,annellata,,,,"Zeller, 1847"
Sesiidae,Chamaesphecia,bibioniformis,,,,"(Esper, 1800)"
Sesiidae,Chamaesphecia,chalciformis,,,,"(Esper, 1804)"
Sesiidae,Chamaesphecia,dumonti,,,,"Le Cerf, 1922"
Sesiidae,Chamaesphecia,empiformis,,,,"(Esper, 1783)"
Sesiidae,Chamaesphecia,euceraeformis,,,,"Freyer, 1836"
Sesiidae,Chamaesphecia,leucopsiformis,,,,"(Esper, 1800)"
Sesiidae,Chamaesphecia,masariformis,,,,"Ochsenheimer, 1808"
Sesiidae,Chamaesphecia,nigrifrons,,,,"Le Cerf, 1911"
Noctuidae,Charanyca,trigrammica,,,,"(Hufnagel, 1766)"
Nymphalidae,Charaxes,jasius,,,,"(Linnaeus, 1767)"
Geometridae,Chariaspilates,formosaria,,,,"(Eversmann, 1837)"
Geometridae,Charissa,ambiguata,,,,"(Duponchel, 1830)"
Geometridae,Charissa,glaucinaria,,,,"(H\u00fcbner, 1799)"
Geometridae,Charissa,intermedia,,,,"(Wehrli, 1917)"
Geometridae,Charissa,italohelveticus,,,,"(Rezbanyai-Reser, 1986)"
Geometridae,Charissa,mucidaria,,,,"(H\u00fcbner, 1799)"
Geometridae,Charissa,obscurata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Charissa,pullata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Charissa,variegata,,,,"(Duponchel, 1830)"
Nymphalidae,Chazara,briseis,,,,"(Linnaeus, 1764)"
Arctiidae,Chelis,maculosa,,,,"(Gerning, 1780)"
Arctiidae,Chelis,simplonica,,,,"(Boisduval, 1840)"
Noctuidae,Chersotis,alpestris,,,,"(Boisduval, 1837)"
Noctuidae,Chersotis,andereggii,,,,"(Boisduval, 1832)"
Noctuidae,Chersotis,cuprea,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Chersotis,elegans,,,,"Eversmann, 1837"
