Family,Genus,SpecificEpithet,SubspecificEpithet,InfraspecificEpithet,InfraspecificRank,Authorship
Notodontidae,Leucodonta,bicoloria,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lymantriidae,Leucoma,salicis,,,,"(Linnaeus, 1758)"
Nymphalidae,Libythea,celtis,,,,"(Laicharting, 1782)"
Geometridae,Ligdia,adustata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Limenitis,camilla,,,,"(Linnaeus, 1764)"
Nymphalidae,Limenitis,camilla,,,,"Denis & Schifferm\u00fcller, 1775"
Nymphalidae,Limenitis,populi,,,,"(Linnaeus, 1758)"
Nymphalidae,Limenitis,reducta,,,,"Staudinger, 1901"
Nymphalidae,Limenitis,rivularis,,,,"(Stichel, 1908 auct.)"
Nymphalidae,Limenitis,sibilla,,,,"(Linnaeus, 1767)"
Noctuidae,Lithomoia,solidaginis,,,,"(H\u00fcbner, 1803)"
Noctuidae,Lithophane,consocia,,,,"(Borkhausen, 1792)"
Noctuidae,Lithophane,furcifera,,,,"(Hufnagel, 1766)"
Noctuidae,Lithophane,lamda,,,,"(Fabricius, 1787)"
Noctuidae,Lithophane,lapidea,,,,"(H\u00fcbner, 1808)"
Noctuidae,Lithophane,leautieri,,,,"(Boisduval, 1829)"
Noctuidae,Lithophane,merckii,,,,"(Rambur, 1832)"
Noctuidae,Lithophane,ornitopus,,,,"(Hufnagel, 1766)"
Noctuidae,Lithophane,semibrunnea,,,,"(Haworth, 1809)"
Noctuidae,Lithophane,socia,,,,"(Hufnagel, 1766)"
Arctiidae,Lithosia,quadra,,,,"(Linnaeus, 1758)"
Geometridae,Lithostege,farinata,,,,"(Hufnagel, 1767)"
Geometridae,Lithostege,griseata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Geometridae,Lobophora,halterata,,,,"(Hufnagel, 1767)"
Geometridae,Lomaspilis,marginata,,,,"(Linnaeus, 1758)"
Geometridae,Lomographa,bimaculata,,,,"(Fabricius, 1775)"
Geometridae,Lomographa,temerata,,,,"(Denis & Schifferm\u00fcller, 1775)"
Nymphalidae,Lopinga,achine,,,,"(Scopoli, 1763)"
Psychidae,Luffia,lapidella f. bisex.,,,,"(Goeze, 1783)"
Noctuidae,Luperina,dumerilii,,,,"(Duponchel, 1827)"
Noctuidae,Luperina,nickerlii,,,,"Freyer, 1845"
Noctuidae,Luperina,pozzii,,,,"(Curo, 1833)"
Noctuidae,Luperina,rubella,,,,"(Duponchel, 1835)"
Noctuidae,Luperina,testacea,,,,"(Denis & Schifferm\u00fcller, 1775)"
Noctuidae,Luperina,zollikoferi,,,,"(Freyer, 1836)"
Lycaenidae,Lycaeides,aegon,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Lycaeides,aegus,,,,"(Chapman, 1917)"
Lycaenidae,Lycaeides,argus,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Lycaeides,argus,ligurica,,,"(Oberth\u00fcr, 1910)"
Lycaenidae,Lycaeides,argyrognomon,,,,"(Bergstraesser, 1779)"
Lycaenidae,Lycaeides,argyrognomon,,,,(nec. Bergstraesser)
Lycaenidae,Lycaeides,idas,,,,"(Linnaeus, 1761)"
Lycaenidae,Lycaeides,ismenias,,,,"(Meigen, 1829)"
Lycaenidae,Lycaena,alciphron,,,,"(Rottemburg, 1775)"
Lycaenidae,Lycaena,amphidamas,,,,"(Esper, 1780)"
Lycaenidae,Lycaena,dispar,,,,"(Haworth, 1802)"
Lycaenidae,Lycaena,dorilis,,,,"(Hufnagel, 1766)"
Lycaenidae,Lycaena,helle,,,,"(Denis & Schifferm\u00fcller, 1775)"
Lycaenidae,Lycaena,hippothoe,,,,"(Linnaeus, 1761)"
Lycaenidae,Lycaena,hippothoe,eurydame,,,"(Hoffmansegg, 1806)"
Lycaenidae,Lycaena,hippothoe,eurydice,,,"(Rottenburg, 1775)"
Lycaenidae,Lycaena,phlaeas,,,,"(Linnaeus, 1761)"
Lycaenidae,Lycaena,tityrus,,,,"(Poda, 1761)"
Lycaenidae,Lycaena,tityrus,subalpina,,,"(Speyer, 1851)"
Lycaenidae,Lycaena,tityrus,tityrus,,,"(Poda, 1761)"
Lycaenidae,Lycaena,virgaureae,,,,"(Linnaeus, 1758)"
Geometridae,Lycia,alpina,,,,"(Sulzer, 1776)"
Geometridae,Lycia,hirtaria,,,,"(Clerck, 1759)"
Geometridae,Lycia,isabellae,,,,"(Harrison, 1914)"
